customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6b72614d,Male,0,Yes,No,29,No,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,One year,No,Electronic check,43.83,2573.85,Yes
7f9ac021,Male,1,Yes,No,66,No,No phone service,Fiber optic,No,Yes,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),30.57,4929.11,Yes
7d628749,Male,0,Yes,No,5,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),21.85,6256.76,No
d5024ca3,Male,1,Yes,No,34,No,Yes,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,One year,No,Credit card (automatic),24.01,3418.31,Yes
32c44c69,Female,0,No,Yes,29,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),22.85,1520.51,No
7c68e6d4,Male,1,No,Yes,51,No,Yes,Fiber optic,No,No internet service,No,Yes,No internet service,No,Two year,No,Credit card (automatic),34.98,3588.89,Yes
61aaff18,Female,0,Yes,No,16,No,Yes,No,No,No internet service,Yes,No internet service,No internet service,No,One year,No,Bank transfer (automatic),70.76,7574.39,Yes
7aba19ac,Female,0,No,No,46,No,No phone service,DSL,Yes,Yes,No,No internet service,No,No internet service,Two year,No,Credit card (automatic),54.9,6815.17,No
21082610,Male,0,No,Yes,40,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,93.16,6955.44,Yes
0de6c722,Female,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,118.54,4379.41,No
19341d39,Female,1,No,No,25,Yes,Yes,No,Yes,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),65.06,3363.78,Yes
8920b7e5,Female,1,No,Yes,2,No,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,No,Credit card (automatic),27.89,7427.1,Yes
1e4c3bd2,Female,1,Yes,No,12,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),47.92,3360.93,Yes
d6660e45,Male,1,Yes,No,3,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),26.2,208.16,No
ebf126b3,Male,0,Yes,Yes,59,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,68.76,3432.25,Yes
b5676d05,Male,1,No,Yes,6,No,No,DSL,Yes,No internet service,No,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),39.46,3427.25,No
3234afd4,Female,0,Yes,Yes,15,Yes,No phone service,No,No,No internet service,No,Yes,No internet service,No,Month-to-month,No,Mailed check,112.6,3582.58,No
6c31afee,Male,1,No,No,4,No,No phone service,No,No,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),79.16,3309.71,Yes
ebf25865,Male,0,Yes,No,2,No,No,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),65.37,3496.82,No
8cbb865e,Male,0,No,Yes,32,No,No,DSL,Yes,No internet service,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),69.97,794.3,No
89b619d5,Female,0,No,Yes,66,No,No phone service,DSL,Yes,Yes,No,Yes,No internet service,No,One year,Yes,Electronic check,32.95,384.88,No
8e20e82d,Male,1,Yes,Yes,42,No,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,No internet service,One year,Yes,Mailed check,77.28,132.72,No
812ba8db,Male,0,No,No,3,No,Yes,No,Yes,Yes,No internet service,No,No,Yes,Two year,No,Mailed check,61.37,3822.2,Yes
0d264eaf,Female,1,No,No,28,Yes,No,No,Yes,No internet service,Yes,Yes,No internet service,No,One year,No,Mailed check,84.88,2994.62,No
f7ee618d,Female,1,Yes,Yes,44,Yes,No,No,Yes,No,Yes,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),58.02,2039.02,No
9918f44c,Male,1,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),35.64,1228.46,No
f7bbd108,Male,0,Yes,No,14,No,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,71.15,127.2,No
b97e8de7,Male,0,No,Yes,40,Yes,No phone service,No,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),56.23,5000.66,No
8a35cc39,Male,0,No,Yes,54,Yes,Yes,DSL,No,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),113.28,3616.01,No
d0548549,Male,1,Yes,No,66,No,Yes,No,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.33,2860.1,No
2090c945,Male,0,Yes,Yes,37,No,No phone service,Fiber optic,No,No internet service,No internet service,No,No,No,Two year,Yes,Credit card (automatic),39.33,1964.41,No
eb8e5bff,Female,0,No,No,68,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,No internet service,Yes,One year,Yes,Mailed check,101.05,2357.75,Yes
7d2af968,Female,0,Yes,No,2,Yes,No phone service,No,No internet service,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),107.13,6526.84,Yes
377442b7,Female,0,Yes,Yes,68,No,Yes,No,No,No,No,Yes,No internet service,No,Two year,No,Electronic check,42.29,468.45,Yes
9dff31a0,Female,0,Yes,Yes,12,No,No phone service,No,No,No,No internet service,Yes,No,No,Month-to-month,No,Bank transfer (automatic),112.28,7218.5,Yes
42f749b7,Male,1,No,No,0,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Two year,Yes,Mailed check,60.22,3811.51,Yes
56003b58,Female,0,No,Yes,48,No,No phone service,No,No internet service,Yes,No internet service,Yes,No,No internet service,Two year,No,Credit card (automatic),71.95,1771.12,No
224fa64e,Male,1,No,No,66,Yes,No,No,No,No,No,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,35.66,1187.14,Yes
d3d8c8b8,Female,1,No,Yes,43,No,No,Fiber optic,No,No,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,97.54,4506.79,No
ccf93306,Male,1,Yes,Yes,17,No,No phone service,Fiber optic,No,No,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,57.64,4291.84,No
dc0fdc72,Female,1,Yes,No,31,No,No phone service,DSL,Yes,No internet service,Yes,Yes,No,Yes,One year,No,Credit card (automatic),37.28,7061.59,No
7b1fd031,Female,0,Yes,No,71,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Two year,No,Credit card (automatic),23.68,4313.51,No
309e2cd6,Female,0,Yes,No,22,No,No,No,No internet service,No,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),113.22,4317.4,No
0fc1e131,Male,1,Yes,Yes,60,Yes,No,DSL,No internet service,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,78.99,6159.58,Yes
d3b7e1bb,Male,0,No,No,0,No,No,No,Yes,Yes,No,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),49.96,1254.82,Yes
9bbbb452,Male,1,Yes,No,30,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,101.66,2318.94,No
34cc7d4f,Male,1,No,Yes,70,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),24.78,1704.44,Yes
cd71c1b3,Female,0,No,No,71,Yes,No phone service,No,No internet service,No,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),20.91,2558.46,Yes
b094544e,Female,0,Yes,No,36,No,Yes,DSL,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),55.6,7185.79,No
0ac05fd2,Male,0,No,Yes,44,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,85.71,717.89,No
